7;PORTE DE LA VILLETTE (CITE DES SCIENCES ET DE L'INDUSTRIE);CORENTIN CARIOU;0.000000
7;CORENTIN CARIOU;CRIMEE;0.000000
7;CRIMEE;RIQUET;0.000000
7;RIQUET;STALINGRAD;0.000000
7;STALINGRAD;LOUIS BLANC;0.000000
7;LOUIS BLANC;CHATEAU-LANDON;0.000000
7;CHATEAU-LANDON;GARE DE L'EST (VERDUN);0.000000
7;GARE DE L'EST (VERDUN);POISSONNIERE;0.000000
7;POISSONNIERE;CADET;0.000000
7;CADET;LE PELETIER;0.000000
7;LE PELETIER;CHAUSSEE D'ANTIN - LA FAYETTE;0.000000
7;CHAUSSEE D'ANTIN - LA FAYETTE;OPERA;0.000000
7;OPERA;PYRAMIDES;0.000000
7;PYRAMIDES;PALAIS ROYAL - MUSEE DU LOUVRE;0.000000
7;PALAIS ROYAL - MUSEE DU LOUVRE;PONT NEUF;0.000000
7;PONT NEUF;CHATELET;0.000000
7;CHATELET;PONT MARIE (CITE DES ARTS);0.000000
7;PONT MARIE (CITE DES ARTS);SULLY - MORLAND;0.000000
7;SULLY - MORLAND;JUSSIEU;0.000000
7;JUSSIEU;PLACE MONGE (JARDIN DES PLANTES - ARENES DE LUTECE);0.000000
7;PLACE MONGE (JARDIN DES PLANTES - ARENES DE LUTECE);CENSIER - DAUBENTON;0.000000
7;CENSIER - DAUBENTON;LES GOBELINS;0.000000
7;LES GOBELINS;PLACE D'ITALIE;0.000000
7;PLACE D'ITALIE;TOLBIAC;0.000000
7;TOLBIAC;MAISON BLANCHE;0.000000
7;MAISON BLANCHE;PORTE D'ITALIE;0.000000
7;PORTE D'ITALIE;PORTE DE CHOISY;0.000000
7;PORTE DE CHOISY;PORTE D'IVRY;0.000000
7;PORTE D'IVRY;PIERRE ET MARIE CURIE;0.000000
7;PIERRE ET MARIE CURIE;MAIRIE D'IVRY;0.000000
7;MAISON BLANCHE;LE KREMLIN-BICETRE;0.000000
7;LE KREMLIN-BICETRE;VILLEJUIF - LEO LAGRANGE;0.000000
7;VILLEJUIF - LEO LAGRANGE;VILLEJUIF - PAUL VAILLANT-COUTURIER (HOPITAL PAUL BROUSSE);0.000000
7;VILLEJUIF - PAUL VAILLANT-COUTURIER (HOPITAL PAUL BROUSSE);VILLEJUIF - LOUIS ARAGON;0.000000
7B;LOUIS BLANC;JAURES;0.000000
7B;JAURES;BOLIVAR;0.000000
7B;BOLIVAR;BUTTES CHAUMONT;0.000000
7B;BUTTES CHAUMONT;BOTZARIS;0.000000
7B;BOTZARIS;PLACE DES FETES;0.000000
7B;PLACE DES FETES;DANUBE;0.000000
7B;DANUBE;PRE SAINT-GERVAIS;0.000000
8;BALARD;LOURMEL;0.000000
8;LOURMEL;BOUCICAUT;0.000000
8;BOUCICAUT;FELIX FAURE;0.000000
8;FELIX FAURE;COMMERCE;0.000000
8;COMMERCE;LA MOTTE-PICQUET - GRENELLE;0.000000
8;LA MOTTE-PICQUET - GRENELLE;ECOLE MILITAIRE;0.000000
8;ECOLE MILITAIRE;LA TOUR-MAUBOURG;0.000000
